地名,year,fire_count,frp_sum,frp_mean
丁青县,2014,1,7.2,7.2
丁青县,2015,1,8.4,8.4
丁青县,2017,1,10.3,10.3
七星关区,2010,130,5017.9,38.59923
七星关区,2011,37,371.7,10.045946
七星关区,2012,26,347.69998,13.373076
七星关区,2013,48,750.5,15.635417
七星关区,2014,65,1270.4,19.544617
七星关区,2015,24,390.09998,16.254166
七星关区,2016,33,378.0,11.454545
七星关区,2017,15,179.8,11.986667
七星关区,2018,38,722.2,19.005264
七星关区,2019,18,208.0,11.555555
七星区,2012,2,12.5,6.25
七星区,2013,1,9.4,9.4
七星区,2015,1,8.6,8.6
七星区,2017,2,22.5,11.25
七里河区,2010,1,14.8,14.8
七里河区,2011,3,26.400002,8.8
七里河区,2012,2,28.8,14.4
七里河区,2013,3,28.400002,9.466667
七里河区,2014,11,215.0,19.545454
七里河区,2015,3,24.3,8.099999
七里河区,2016,2,14.7,7.35
七里河区,2017,5,49.5,9.9
七里河区,2018,6,45.4,7.566667
七里河区,2019,13,166.90001,12.838462
万全县,2010,15,156.6,10.440001
万全县,2011,37,486.2,13.140541
万全县,2012,35,672.9,19.225716
万全县,2013,37,779.7,21.072973
万全县,2014,39,552.8,14.174358
万全县,2015,26,302.8,11.646153
万全县,2016,41,373.2,9.102439
万全县,2017,31,237.1,7.6483874
万全县,2018,29,279.3,9.631034
万全县,2019,26,303.4,11.66923
万宁市,2010,1,9.8,9.8
万宁市,2011,2,53.4,26.7
万宁市,2012,1,6.3,6.3
万宁市,2013,3,22.7,7.566667
万宁市,2014,7,57.5,8.214286
万宁市,2015,1,8.8,8.8
万宁市,2016,2,22.7,11.35
万宁市,2017,1,7.7,7.7
万宁市,2018,1,7.8,7.8
万安县,2010,47,1550.6,32.99149
万安县,2011,36,965.8,26.827778
万安县,2012,32,798.4,24.95
万安县,2013,56,2337.4,41.739285
万安县,2014,63,2229.8,35.39365
万安县,2015,47,1308.6,27.842552
万安县,2016,18,627.6,34.866665
万安县,2017,25,815.4,32.616
万安县,2018,14,529.2,37.8
万安县,2019,17,518.0,30.470589
万山区,2010,5,80.1,16.02
万山区,2011,5,43.6,8.719999
万山区,2012,2,12.3,6.15
万山区,2013,9,125.4,13.933333
万山区,2014,1,6.0,6.0
万山区,2017,3,23.4,7.7999997
万山区,2018,1,5.5,5.5
万山区,2019,2,24.7,12.35
万州区,2010,12,110.5,9.208333
万州区,2011,16,171.0,10.6875
万州区,2012,17,176.4,10.376471
万州区,2013,18,239.0,13.277778
万州区,2014,10,80.3,8.030001
万州区,2015,20,207.3,10.365
万州区,2016,26,222.9,8.573076
万州区,2017,31,347.4,11.206451
万州区,2018,37,388.2,10.491892
万州区,2019,21,171.9,8.185714
万年县,2010,8,83.3,10.4125
万年县,2011,16,382.30002,23.893751
万年县,2012,22,681.2,30.963636
万年县,2013,14,355.4,25.385714
万年县,2014,24,504.30002,21.0125
万年县,2015,5,43.5,8.7
万年县,2016,18,258.8,14.377777
万年县,2017,15,240.4,16.026667
万年县,2018,16,226.3,14.14375
万年县,2019,18,253.1,14.061111
万柏林区,2010,11,90.8,8.254546
万柏林区,2011,3,17.5,5.8333335
万柏林区,2012,11,278.2,25.29091
万柏林区,2013,17,449.1,26.417648
万柏林区,2014,10,90.8,9.08
万柏林区,2015,17,185.6,10.917647
万柏林区,2016,7,64.0,9.142858
万柏林区,2017,8,73.9,9.2375
万柏林区,2018,5,42.6,8.5199995
万柏林区,2019,4,116.1,29.025
万源市,2010,9,80.8,8.977778
万源市,2011,9,128.0,14.222222
万源市,2012,5,57.9,11.58
万源市,2013,5,41.8,8.36
万源市,2014,9,103.8,11.533334
万源市,2015,7,150.70001,21.528574
万源市,2016,7,194.7,27.814285
万源市,2017,3,61.9,20.633333
万源市,2018,7,56.7,8.1
万源市,2019,6,50.100002,8.35
万秀区,2010,9,112.5,12.5
万秀区,2011,13,180.8,13.907693
万秀区,2012,11,388.59998,35.32727
万秀区,2013,9,80.2,8.911111
万秀区,2014,22,456.3,20.740908
万秀区,2015,17,220.8,12.988235
万秀区,2016,12,263.3,21.941666
万秀区,2017,17,350.1,20.594118
万秀区,2018,14,211.8,15.1285715
