县名,年份,火点数量,农业焚烧数量,农业焚烧比例
丁青县,2014,1,0,0.0
丁青县,2015,1,0,0.0
丁青县,2017,1,0,0.0
七星关区,2010,130,0,0.0
七星关区,2011,37,0,0.0
七星关区,2012,26,0,0.0
七星关区,2013,48,0,0.0
七星关区,2014,65,0,0.0
七星关区,2015,24,0,0.0
七星关区,2016,33,0,0.0
七星关区,2017,15,0,0.0
七星关区,2018,38,0,0.0
七星关区,2019,18,0,0.0
七星区,2012,2,0,0.0
七星区,2013,1,0,0.0
七星区,2015,1,0,0.0
七星区,2017,2,0,0.0
七里河区,2010,1,0,0.0
七里河区,2011,3,0,0.0
七里河区,2012,2,0,0.0
七里河区,2013,3,0,0.0
七里河区,2014,11,0,0.0
七里河区,2015,3,0,0.0
七里河区,2016,2,0,0.0
七里河区,2017,5,0,0.0
七里河区,2018,6,0,0.0
七里河区,2019,13,0,0.0
万全县,2010,15,0,0.0
万全县,2011,37,0,0.0
万全县,2012,35,0,0.0
万全县,2013,37,0,0.0
万全县,2014,39,0,0.0
万全县,2015,26,0,0.0
万全县,2016,41,0,0.0
万全县,2017,31,0,0.0
万全县,2018,29,0,0.0
万全县,2019,26,0,0.0
万宁市,2010,1,0,0.0
万宁市,2011,2,0,0.0
万宁市,2012,1,0,0.0
万宁市,2013,3,0,0.0
万宁市,2014,7,0,0.0
万宁市,2015,1,0,0.0
万宁市,2016,2,0,0.0
万宁市,2017,1,0,0.0
万宁市,2018,1,0,0.0
万安县,2010,47,0,0.0
万安县,2011,36,0,0.0
万安县,2012,32,0,0.0
万安县,2013,56,0,0.0
万安县,2014,63,0,0.0
万安县,2015,47,0,0.0
万安县,2016,18,0,0.0
万安县,2017,25,0,0.0
万安县,2018,14,0,0.0
万安县,2019,17,0,0.0
万山区,2010,5,0,0.0
万山区,2011,5,0,0.0
万山区,2012,2,0,0.0
万山区,2013,9,0,0.0
万山区,2014,1,0,0.0
万山区,2017,3,0,0.0
万山区,2018,1,0,0.0
万山区,2019,2,0,0.0
万州区,2010,12,0,0.0
万州区,2011,16,0,0.0
万州区,2012,17,0,0.0
万州区,2013,18,0,0.0
万州区,2014,10,0,0.0
万州区,2015,20,0,0.0
万州区,2016,26,0,0.0
万州区,2017,31,0,0.0
万州区,2018,37,0,0.0
万州区,2019,21,0,0.0
万年县,2010,8,0,0.0
万年县,2011,16,0,0.0
万年县,2012,22,0,0.0
万年县,2013,14,0,0.0
万年县,2014,24,0,0.0
万年县,2015,5,0,0.0
万年县,2016,18,0,0.0
万年县,2017,15,0,0.0
万年县,2018,16,0,0.0
万年县,2019,18,0,0.0
万柏林区,2010,11,0,0.0
万柏林区,2011,3,0,0.0
