县名,年份,月份,火点数量,农业焚烧数量,农业焚烧比例
丁青县,2014,9,1,0,0.0
丁青县,2015,11,1,0,0.0
丁青县,2017,9,1,0,0.0
七星关区,2010,1,3,0,0.0
七星关区,2010,2,96,0,0.0
七星关区,2010,3,31,0,0.0
七星关区,2011,2,20,0,0.0
七星关区,2011,4,1,0,0.0
七星关区,2011,5,3,0,0.0
七星关区,2011,7,5,0,0.0
七星关区,2011,8,5,0,0.0
七星关区,2011,9,2,0,0.0
七星关区,2011,11,1,0,0.0
七星关区,2012,2,1,0,0.0
七星关区,2012,3,4,0,0.0
七星关区,2012,4,8,0,0.0
七星关区,2012,5,6,0,0.0
七星关区,2012,7,1,0,0.0
七星关区,2012,8,3,0,0.0
七星关区,2012,9,1,0,0.0
七星关区,2012,10,1,0,0.0
七星关区,2012,12,1,0,0.0
七星关区,2013,1,3,0,0.0
七星关区,2013,2,14,0,0.0
七星关区,2013,3,8,0,0.0
七星关区,2013,4,3,0,0.0
七星关区,2013,5,6,0,0.0
七星关区,2013,6,2,0,0.0
七星关区,2013,7,1,0,0.0
七星关区,2013,8,3,0,0.0
七星关区,2013,9,3,0,0.0
七星关区,2013,10,2,0,0.0
七星关区,2013,11,2,0,0.0
七星关区,2013,12,1,0,0.0
七星关区,2014,1,42,0,0.0
七星关区,2014,2,5,0,0.0
七星关区,2014,3,3,0,0.0
七星关区,2014,4,7,0,0.0
七星关区,2014,5,1,0,0.0
七星关区,2014,7,2,0,0.0
七星关区,2014,8,3,0,0.0
七星关区,2014,9,2,0,0.0
七星关区,2015,1,4,0,0.0
七星关区,2015,2,7,0,0.0
七星关区,2015,3,4,0,0.0
七星关区,2015,4,4,0,0.0
七星关区,2015,5,1,0,0.0
七星关区,2015,6,1,0,0.0
七星关区,2015,10,3,0,0.0
七星关区,2016,1,2,0,0.0
七星关区,2016,2,8,0,0.0
七星关区,2016,3,2,0,0.0
七星关区,2016,4,3,0,0.0
七星关区,2016,5,3,0,0.0
七星关区,2016,6,2,0,0.0
七星关区,2016,7,2,0,0.0
七星关区,2016,8,6,0,0.0
七星关区,2016,9,2,0,0.0
七星关区,2016,10,3,0,0.0
七星关区,2017,2,1,0,0.0
七星关区,2017,4,3,0,0.0
七星关区,2017,5,1,0,0.0
七星关区,2017,7,5,0,0.0
七星关区,2017,8,1,0,0.0
七星关区,2017,9,1,0,0.0
七星关区,2017,12,3,0,0.0
七星关区,2018,1,2,0,0.0
七星关区,2018,2,10,0,0.0
七星关区,2018,3,16,0,0.0
七星关区,2018,5,1,0,0.0
七星关区,2018,6,2,0,0.0
七星关区,2018,7,1,0,0.0
七星关区,2018,8,3,0,0.0
七星关区,2018,9,3,0,0.0
七星关区,2019,2,3,0,0.0
七星关区,2019,3,4,0,0.0
七星关区,2019,4,3,0,0.0
七星关区,2019,5,1,0,0.0
七星关区,2019,8,6,0,0.0
七星关区,2019,10,1,0,0.0
七星区,2012,4,1,0,0.0
七星区,2012,7,1,0,0.0
七星区,2013,8,1,0,0.0
七星区,2015,4,1,0,0.0
七星区,2017,4,1,0,0.0
七星区,2017,12,1,0,0.0
七里河区,2010,3,1,0,0.0
七里河区,2011,4,1,0,0.0
七里河区,2011,5,1,0,0.0
七里河区,2011,9,1,0,0.0
七里河区,2012,6,2,0,0.0
七里河区,2013,6,1,0,0.0
七里河区,2013,7,2,0,0.0
七里河区,2014,1,5,0,0.0
七里河区,2014,5,1,0,0.0
七里河区,2014,6,3,0,0.0
七里河区,2014,7,1,0,0.0
七里河区,2014,9,1,0,0.0
七里河区,2015,2,1,0,0.0
七里河区,2015,5,1,0,0.0
七里河区,2015,7,1,0,0.0
