fire_idx,fire_lat,fire_lon,fire_time,fire_year,fire_month,meteo_t2m,meteo_u10,meteo_v10,meteo_wind_speed,meteo_year,meteo_month,spatial_distance,temporal_distance
45984,44.0605,131.1105,2010-04-25,2010,4,281.9441,0.33678436,-0.76180744,0.83293116,2010,4,1609896,0
48354,47.2605,131.4099,2010-05-04,2010,5,284.48584,3.055912,0.905241,3.187171,2010,5,1732607,0
64912,51.46,123.2097,2010-07-01,2010,7,293.7522,0.5827179,0.6940994,0.90627486,2010,7,2560433,0
72260,49.0594,128.011,2010-08-26,2010,8,293.38818,2.0754538,0.8563757,2.245192,2010,8,3341101,0
76831,45.6607,133.3093,2010-10-02,2010,10,280.12012,-0.29699993,-2.2631645,2.2825694,2010,10,3868798,0
78684,47.5594,130.7099,2010-10-08,2010,10,286.3938,-0.9663811,2.3942413,2.5819147,2010,10,3950904,0
81597,47.5593,123.6105,2010-10-19,2010,10,271.989,1.666359,2.0492105,2.6412148,2010,10,4106285,0
82780,46.0601,125.21,2010-10-21,2010,10,275.28345,-1.5930023,2.6884165,3.1249382,2010,10,4150797,0
87928,47.06,127.2092,2010-10-30,2010,10,270.8431,-0.12756729,2.2026691,2.20636,2010,10,4262473,0
129928,50.2602,124.8103,2011-04-03,2011,4,275.2444,1.5650063,2.601632,3.0360723,2011,4,6462561,0
131614,49.8604,124.11,2011-04-05,2011,4,280.79468,2.3412285,0.5271244,2.3998356,2011,4,6491378,0
131661,46.56,132.0098,2011-04-05,2011,4,284.02222,3.5762138,2.7114506,4.4879026,2011,4,6496077,0
152916,45.8593,126.51,2011-06-13,2011,6,291.3374,-0.9418402,-1.892724,2.1141114,2011,6,7457978,0
177888,43.7602,124.7101,2011-10-12,2011,10,285.50073,1.2198114,2.814477,3.0674453,2011,10,9185004,0
178719,47.06,131.1098,2011-10-12,2011,10,283.31787,2.4934902,2.3128347,3.4009848,2011,10,9166316,0
185698,44.7608,126.0104,2011-10-21,2011,10,288.2771,1.8560114,4.878187,5.219338,2011,10,9296673,0
188602,48.4604,126.8104,2011-10-26,2011,10,271.63745,1.5161076,0.4641466,1.5855644,2011,10,9362161,0
189374,48.8602,126.9088,2011-10-27,2011,10,273.51245,0.5795803,1.9002237,1.9866464,2011,10,9389866,0
189639,46.7593,123.0095,2011-10-28,2011,10,276.12573,0.043935776,-0.9249716,0.9260144,2011,10,9392767,0
193904,47.1598,126.31,2011-11-02,2011,11,274.58813,1.9885273,0.8249054,2.1528375,2011,11,9477032,0
216682,45.6604,132.5097,2012-03-13,2012,3,266.99164,-2.2986012,1.4258852,2.704943,2012,3,11344618,0
221017,47.3601,131.011,2012-03-25,2012,3,272.04254,0.58523846,-5.0688,5.1024737,2012,3,11497675,0
221112,46.6593,125.6093,2012-03-25,2012,3,271.52545,0.55691814,-4.471876,4.5064216,2012,3,11498601,0
228503,47.1597,132.1104,2012-03-29,2012,3,276.94116,-1.7180595,-1.6026402,2.349507,2012,3,11568626,0
237461,45.8596,132.609,2012-04-07,2012,4,269.96802,1.9852085,0.79641056,2.1390004,2012,4,11697639,0
237837,47.2596,132.1096,2012-04-07,2012,4,270.989,2.545148,-1.6837606,3.0516927,2012,4,11681542,0
238515,49.0602,123.9109,2012-04-09,2012,4,273.41577,-0.38534355,-1.7539768,1.7958075,2012,4,11707204,0
240933,46.6599,130.3097,2012-04-16,2012,4,276.19263,2.3727026,-0.3640051,2.400462,2012,4,11823684,0
242009,47.2595,131.3104,2012-04-18,2012,4,280.66528,-1.715785,3.0512486,3.5005765,2012,4,11836986,0
242319,43.8595,127.4098,2012-04-19,2012,4,285.66382,0.21726608,2.7141657,2.7228477,2012,4,11855839,0
294981,46.6606,126.5103,2012-10-26,2012,10,275.61914,-0.54847336,2.788742,2.8421657,2012,10,14536990,0
335297,50.5596,124.9105,2013-04-12,2013,4,272.36646,1.4200115,-1.2667685,1.9029281,2013,4,16905690,0
339937,45.9594,131.7097,2013-04-22,2013,4,276.23853,1.9976358,1.1225891,2.2914526,2013,4,17053518,0
343015,48.1602,127.2111,2013-04-29,2013,4,285.35132,-2.5045328,1.7109756,3.0331705,2013,4,17149317,0
344294,48.0592,124.4102,2013-05-03,2013,5,286.969,1.037343,3.5010328,3.6514807,2013,5,17220089,0
345339,49.8598,127.4092,2013-05-04,2013,5,286.8208,2.1984434,-0.64899635,2.2922368,2013,5,17231731,0
378080,45.6597,128.7102,2013-09-15,2013,9,290.06152,1.999033,2.4942837,3.1964958,2013,9,19117180,0
393856,46.3605,132.1107,2013-10-18,2013,10,277.1045,0.43386555,2.3104334,2.3508172,2013,10,19596722,0
402531,46.5597,131.3099,2013-11-02,2013,11,275.73315,2.0927734,1.6785126,2.682742,2013,11,19794282,0
473359,47.3608,125.0103,2014-04-12,2014,4,286.2268,-0.5311289,0.64684486,0.83696246,2014,4,22068351,0
520291,47.1603,132.61,2014-10-05,2014,10,278.39844,2.9325724,0.5696621,2.9873893,2014,10,24555939,0
528896,44.9604,124.8105,2014-10-14,2014,10,280.8506,0.81374073,4.035843,4.1170626,2014,10,24700261,0
528934,44.6601,125.5112,2014-10-14,2014,10,278.02026,-0.8055315,-0.22457886,0.83625156,2014,10,24686556,0
536062,47.2596,132.3102,2014-10-18,2014,10,274.18433,1.200717,1.621212,2.0174363,2014,10,24739512,0
548534,43.5598,123.5097,2014-10-27,2014,10,274.93164,0.08948517,-0.583004,0.58983153,2014,10,24885924,0
559108,46.5592,132.21,2014-11-09,2014,11,272.78735,2.6185913,1.5366163,3.0361505,2014,11,25051395,0
593509,46.4599,122.6093,2015-03-23,2015,3,268.65503,2.026682,-2.5012655,3.2192807,2015,3,26945127,0
607026,46.0603,121.9108,2015-04-10,2015,4,277.53882,0.10855007,-2.5070372,2.509386,2015,4,27214188,0
612729,46.8607,126.4099,2015-04-15,2015,4,282.27075,-2.604062,1.0847683,2.8209682,2015,4,27269641,0
617595,43.5593,128.0093,2015-04-21,2015,4,278.3015,2.236764,-0.8067856,2.3778174,2015,4,27373201,0
619491,47.7601,126.5106,2015-04-25,2015,4,287.10767,1.1634026,2.6924496,2.9330513,2015,4,27423834,0
619837,49.2607,125.41,2015-04-26,2015,4,287.33594,-1.8562012,-1.6772738,2.5017455,2015,4,27435855,0
622033,48.7607,125.9102,2015-04-28,2015,4,285.5647,-2.1521282,-1.0021801,2.3740304,2015,4,27450692,0
672819,49.0595,126.6108,2015-10-25,2015,10,271.0517,1.1898661,1.6670151,2.0481017,2015,10,30008171,0
685359,45.5595,126.5098,2015-11-04,2015,11,280.6726,2.3455048,-2.8666868,3.7039554,2015,11,30154390,0
687217,46.9595,131.1109,2015-11-05,2015,11,271.50922,3.1029806,-0.84177303,3.2151315,2015,11,30166608,0
717730,46.5592,122.2101,2016-03-20,2016,3,273.16223,1.0888042,2.4288092,2.6616929,2016,3,32074899,0
719600,46.9595,123.7099,2016-03-23,2016,3,273.4756,0.119817734,-3.2650442,3.267242,2016,3,32116750,0
722253,46.5599,123.3096,2016-03-25,2016,3,278.4756,0.6145067,-1.425621,1.5524219,2016,3,32159702,0
723152,47.2604,125.2105,2016-03-25,2016,3,276.51514,-0.036860466,-2.4712753,2.4715502,2016,3,32158741,0
727406,45.7604,124.7108,2016-03-27,2016,3,277.21875,-0.7857809,-4.1785975,4.251838,2016,3,32174968,0
732530,47.1592,132.4106,2016-03-31,2016,3,274.98975,2.680623,0.15894604,2.685331,2016,3,32229613,0
778649,48.7603,127.3105,2016-10-24,2016,10,269.68604,1.6425284,0.943943,1.8944466,2016,10,35152646,0
779005,45.5593,122.3103,2016-10-25,2016,10,276.62207,-1.1765099,1.2631254,1.7261695,2016,10,35171208,0
782541,46.8595,131.5102,2016-11-01,2016,11,267.3094,3.9019318,-0.04437828,3.9021842,2016,10,35268404,0
784423,46.5594,127.1095,2016-11-03,2016,11,269.01587,1.0258427,-0.28416824,1.0644739,2016,11,35297044,0
786179,49.4601,128.2099,2016-11-08,2016,11,263.93066,1.416565,-0.49141693,1.4993821,2016,11,35363655,0
813947,49.2596,123.4105,2017-03-19,2017,3,271.1006,1.9179735,-1.0673122,2.1949437,2017,3,37229311,0
816966,46.26,126.3108,2017-03-25,2017,3,275.6377,-0.32291698,-1.1119499,1.1578895,2017,3,37318332,0
817622,45.7597,126.511,2017-03-26,2017,3,276.3872,-0.061930656,-1.2063103,1.207899,2017,3,37319034,0
823023,47.7594,124.4097,2017-04-01,2017,4,274.58643,-2.1652498,-0.51243305,2.2250605,2017,3,37401005,0
823712,47.5602,130.9098,2017-04-01,2017,4,274.7854,2.9922333,0.27851868,3.0051677,2017,4,37415482,0
824182,47.0606,130.2095,2017-04-01,2017,4,273.64404,2.00809,1.060565,2.2709522,2017,3,37402043,0
828512,47.2595,125.4089,2017-04-03,2017,4,278.8318,0.010419846,-2.3122826,2.3123062,2017,4,37429979,0
837311,44.9593,126.1099,2017-04-09,2017,4,277.63013,2.8608189,-1.7070322,3.3314028,2017,4,37517998,0
839895,48.2595,126.2108,2017-04-12,2017,4,273.0857,1.6136646,1.082489,1.943115,2017,4,37555775,0
841291,47.6602,125.3096,2017-04-13,2017,4,272.8049,2.714653,0.5992546,2.7800086,2017,4,37570738,0
842246,46.0601,130.6111,2017-04-14,2017,4,276.0354,-0.46351624,2.7093554,2.7487185,2017,4,37587163,0
842915,46.8598,131.8093,2017-04-15,2017,4,280.3628,0.37896156,-2.5502262,2.5782292,2017,4,37600187,0
850515,48.1599,133.8103,2017-05-09,2017,5,283.30298,2.2561245,1.5358648,2.7292817,2017,5,37937555,0
853142,48.1599,126.2105,2017-05-19,2017,5,297.56665,-0.17968369,5.6199064,5.622778,2017,5,38078799,0
882303,45.2602,122.5108,2017-10-19,2017,10,279.7268,1.3957195,2.0794907,2.504459,2017,10,40245018,0
883619,45.9598,127.7106,2017-10-22,2017,10,271.02515,2.0038366,-0.29900455,2.026022,2017,10,40286486,0
886749,47.06,127.0112,2017-10-26,2017,10,273.37207,1.1336975,1.8251114,2.148558,2017,10,40341467,0
887062,49.46,126.4089,2017-10-26,2017,10,273.03027,0.7894592,2.395424,2.522162,2017,10,40338101,0
888036,50.4593,124.9097,2017-10-27,2017,10,278.0464,0.15310192,3.7073307,3.7104907,2017,10,40364950,0
896932,45.4599,126.0101,2017-11-05,2017,11,272.01938,1.883071,2.6306477,3.2351604,2017,11,40485017,0
915204,43.6607,124.0095,2018-02-24,2018,2,262.21375,-0.4536667,-2.5667248,2.606509,2018,2,42056169,0
922049,45.6593,123.0106,2018-03-18,2018,3,277.1604,-1.493638,-4.8537846,5.0784035,2018,3,42378395,0
926870,50.2596,125.2098,2018-03-25,2018,3,274.28418,-0.506053,2.5784082,2.6275995,2018,3,42456769,0
