fire_idx,fire_lat,fire_lon,fire_time,fire_year,fire_month,wind_meteo_t2m,wind_meteo_u10,wind_meteo_v10,wind_meteo_wind_speed,wind_meteo_year,wind_meteo_month,wind_spatial_distance,wind_temporal_distance,relative_humidity,temperature_850hpa,season,t2m_celsius,t850_celsius,temp_gradient,inversion_strength,is_inversion
45984,44.0605,131.1105,2010-04-25,2010,4,281.9441,0.33678436,-0.76180744,0.83293116,2010.0,4.0,1609896.0,0.0,33.414932,275.61133,春季,8.794100000000014,2.461330000000032,-4.2218466666666545,无逆转,False
48354,47.2605,131.4099,2010-05-04,2010,5,284.48584,3.055912,0.905241,3.187171,2010.0,5.0,1732607.0,0.0,19.8917,277.2605,春季,11.335840000000019,4.110500000000002,-4.816893333333344,无逆转,False
64912,51.46,123.2097,2010-07-01,2010,7,293.7522,0.5827179,0.6940994,0.90627486,2010.0,7.0,2560433.0,0.0,66.89574,290.08328,夏季,20.60220000000004,16.933280000000025,-2.4459466666666763,无逆转,False
72260,49.0594,128.011,2010-08-26,2010,8,293.38818,2.0754538,0.8563757,2.245192,2010.0,8.0,3341101.0,0.0,49.796993,288.75024,夏季,20.23818,15.600240000000042,-3.091959999999972,无逆转,False
76831,45.6607,133.3093,2010-10-02,2010,10,280.12012,-0.29699993,-2.2631645,2.2825694,2010.0,10.0,3868798.0,0.0,44.902782,277.3839,秋季,6.9701200000000085,4.2339000000000055,-1.8241466666666686,无逆转,False
78684,47.5594,130.7099,2010-10-08,2010,10,286.3938,-0.9663811,2.3942413,2.5819147,2010.0,10.0,3950904.0,0.0,43.260494,286.26898,秋季,13.243800000000022,13.118980000000022,-0.08321333333333314,无逆转,False
81597,47.5593,123.6105,2010-10-19,2010,10,271.989,1.666359,2.0492105,2.6412148,2010.0,10.0,4106285.0,0.0,34.908207,269.8053,秋季,-1.1610000000000014,-3.344699999999989,-1.4557999999999918,无逆转,False
82780,46.0601,125.21,2010-10-21,2010,10,275.28345,-1.5930023,2.6884165,3.1249382,2010.0,10.0,4150797.0,0.0,37.051987,272.63617,秋季,2.133450000000039,-0.5138299999999845,-1.764853333333349,无逆转,False
87928,47.06,127.2092,2010-10-30,2010,10,270.8431,-0.12756729,2.2026691,2.20636,2010.0,10.0,4262473.0,0.0,43.631794,273.70074,秋季,-2.3068999999999846,0.5507400000000189,1.9050933333333357,弱逆转,True
129928,50.2602,124.8103,2011-04-03,2011,4,275.2444,1.5650063,2.601632,3.0360723,2011.0,4.0,6462561.0,0.0,29.751886,271.42114,春季,2.0944000000000074,-1.7288599999999974,-2.5488400000000033,无逆转,False
131614,49.8604,124.11,2011-04-05,2011,4,280.79468,2.3412285,0.5271244,2.3998356,2011.0,4.0,6491378.0,0.0,23.518778,282.85858,春季,7.644680000000051,9.70858000000004,1.3759333333333263,弱逆转,True
131661,46.56,132.0098,2011-04-05,2011,4,284.02222,3.5762138,2.7114506,4.4879026,2011.0,4.0,6496077.0,0.0,29.050594,278.34753,春季,10.872220000000027,5.197530000000029,-3.7831266666666656,无逆转,False
152916,45.8593,126.51,2011-06-13,2011,6,291.3374,-0.9418402,-1.892724,2.1141114,2011.0,6.0,7457978.0,0.0,42.274673,282.41046,夏季,18.187400000000025,9.260460000000023,-5.951293333333335,无逆转,False
177888,43.7602,124.7101,2011-10-12,2011,10,285.50073,1.2198114,2.814477,3.0674453,2011.0,10.0,9185004.0,0.0,34.801903,281.50806,秋季,12.350729999999999,8.358060000000023,-2.661779999999984,无逆转,False
178719,47.06,131.1098,2011-10-12,2011,10,283.31787,2.4934902,2.3128347,3.4009848,2011.0,10.0,9166316.0,0.0,27.433975,275.41553,秋季,10.16787000000005,2.2655300000000125,-5.268226666666692,无逆转,False
185698,44.7608,126.0104,2011-10-21,2011,10,288.2771,1.8560114,4.878187,5.219338,2011.0,10.0,9296673.0,0.0,42.51841,282.22986,秋季,15.127100000000041,9.079859999999996,-4.031493333333363,无逆转,False
188602,48.4604,126.8104,2011-10-26,2011,10,271.63745,1.5161076,0.4641466,1.5855644,2011.0,10.0,9362161.0,0.0,47.031055,270.75525,秋季,-1.512549999999976,-2.3947499999999877,-0.5881333333333411,无逆转,False
189374,48.8602,126.9088,2011-10-27,2011,10,273.51245,0.5795803,1.9002237,1.9866464,2011.0,10.0,9389866.0,0.0,47.9732,271.92657,秋季,0.3624500000000239,-1.2234299999999507,-1.0572533333333165,无逆转,False
189639,46.7593,123.0095,2011-10-28,2011,10,276.12573,0.043935776,-0.9249716,0.9260144,2011.0,10.0,9392767.0,0.0,34.527546,275.60236,秋季,2.9757299999999987,2.4523599999999988,-0.34891333333333324,无逆转,False
193904,47.1598,126.31,2011-11-02,2011,11,274.58813,1.9885273,0.8249054,2.1528375,2011.0,11.0,9477032.0,0.0,43.77299,270.74292,秋季,1.438130000000001,-2.407079999999951,-2.563473333333301,无逆转,False
216682,45.6604,132.5097,2012-03-13,2012,3,266.99164,-2.2986012,1.4258852,2.704943,2012.0,3.0,11344618.0,0.0,47.85696,259.1403,春季,-6.158359999999959,-14.009699999999953,-5.234226666666662,无逆转,False
221017,47.3601,131.011,2012-03-25,2012,3,272.04254,0.58523846,-5.0688,5.1024737,2012.0,3.0,11497675.0,0.0,29.639488,258.79327,春季,-1.1074600000000032,-14.35672999999997,-8.832846666666645,无逆转,False
221112,46.6593,125.6093,2012-03-25,2012,3,271.52545,0.55691814,-4.471876,4.5064216,2012.0,3.0,11498601.0,0.0,24.885561,261.34247,春季,-1.6245499999999993,-11.807529999999986,-6.7886533333333245,无逆转,False
228503,47.1597,132.1104,2012-03-29,2012,3,276.94116,-1.7180595,-1.6026402,2.349507,2012.0,3.0,11568626.0,0.0,29.021002,273.82718,春季,3.7911600000000476,0.6771800000000212,-2.0759866666666844,无逆转,False
237461,45.8596,132.609,2012-04-07,2012,4,269.96802,1.9852085,0.79641056,2.1390004,2012.0,4.0,11697639.0,0.0,27.635374,263.95392,春季,-3.181979999999953,-9.196079999999995,-4.009400000000028,无逆转,False
237837,47.2596,132.1096,2012-04-07,2012,4,270.989,2.545148,-1.6837606,3.0516927,2012.0,4.0,11681542.0,0.0,27.948439,263.8875,春季,-2.1610000000000014,-9.262499999999989,-4.734333333333325,无逆转,False
238515,49.0602,123.9109,2012-04-09,2012,4,273.41577,-0.38534355,-1.7539768,1.7958075,2012.0,4.0,11707204.0,0.0,31.457209,273.30853,春季,0.2657700000000318,0.15853000000004158,-0.07149333333332682,无逆转,False
240933,46.6599,130.3097,2012-04-16,2012,4,276.19263,2.3727026,-0.3640051,2.400462,2012.0,4.0,11823684.0,0.0,27.468493,269.01874,春季,3.042630000000031,-4.1312599999999975,-4.782593333333352,无逆转,False
242009,47.2595,131.3104,2012-04-18,2012,4,280.66528,-1.715785,3.0512486,3.5005765,2012.0,4.0,11836986.0,0.0,34.876495,279.63818,春季,7.515280000000018,6.48818,-0.6847333333333457,无逆转,False
242319,43.8595,127.4098,2012-04-19,2012,4,285.66382,0.21726608,2.7141657,2.7228477,2012.0,4.0,11855839.0,0.0,22.80852,282.79218,春季,12.51382000000001,9.642179999999996,-1.9144266666666756,无逆转,False
