code,fire_count,season
0.0,6,Spring
110105.0,277,Spring
110106.0,63,Spring
110107.0,2,Spring
110108.0,17,Spring
110109.0,6,Spring
110111.0,100,Spring
110112.0,398,Spring
110113.0,130,Spring
110114.0,77,Spring
110115.0,272,Spring
110116.0,18,Spring
110117.0,39,Spring
110118.0,31,Spring
110119.0,65,Spring
120105.0,2,Spring
120110.0,259,Spring
120111.0,89,Spring
120112.0,114,Spring
120113.0,127,Spring
120114.0,206,Spring
120115.0,189,Spring
120116.0,216,Spring
120117.0,300,Spring
120118.0,159,Spring
120119.0,44,Spring
130102.0,3,Spring
130104.0,2,Spring
130105.0,3,Spring
130107.0,20,Spring
130108.0,6,Spring
130109.0,31,Spring
130110.0,31,Spring
130111.0,19,Spring
130121.0,109,Spring
130123.0,31,Spring
130125.0,30,Spring
130126.0,14,Spring
130127.0,97,Spring
130128.0,12,Spring
130129.0,84,Spring
130130.0,83,Spring
130131.0,70,Spring
130132.0,25,Spring
130133.0,5,Spring
130181.0,12,Spring
130183.0,23,Spring
130184.0,22,Spring
130202.0,23,Spring
130203.0,11,Spring
130204.0,73,Spring
130205.0,55,Spring
130207.0,197,Spring
130208.0,1625,Spring
130209.0,98,Spring
130223.0,99,Spring
130224.0,81,Spring
130225.0,85,Spring
130227.0,90,Spring
130229.0,156,Spring
130281.0,116,Spring
130283.0,190,Spring
130302.0,71,Spring
130303.0,7,Spring
130304.0,14,Spring
130306.0,167,Spring
130321.0,159,Spring
130322.0,126,Spring
130324.0,79,Spring
130402.0,4,Spring
130403.0,4,Spring
130404.0,84,Spring
130406.0,37,Spring
130421.0,47,Spring
130423.0,33,Spring
130424.0,25,Spring
130425.0,36,Spring
130426.0,619,Spring
130427.0,49,Spring
130428.0,27,Spring
130429.0,87,Spring
130430.0,19,Spring
130431.0,21,Spring
130432.0,13,Spring
130433.0,37,Spring
130434.0,10,Spring
130435.0,41,Spring
130481.0,252,Spring
130502.0,7,Spring
130503.0,6,Spring
130521.0,144,Spring
130522.0,28,Spring
130523.0,68,Spring
130524.0,2,Spring
130525.0,32,Spring
130526.0,55,Spring
130527.0,60,Spring
130528.0,71,Spring
130529.0,33,Spring
130530.0,3,Spring
130531.0,13,Spring
130532.0,27,Spring
130533.0,49,Spring
130534.0,28,Spring
130535.0,27,Spring
130581.0,32,Spring
130582.0,102,Spring
130602.0,10,Spring
130606.0,12,Spring
130607.0,74,Spring
130608.0,11,Spring
130609.0,179,Spring
130623.0,26,Spring
130624.0,32,Spring
130626.0,19,Spring
130627.0,128,Spring
130628.0,20,Spring
130629.0,2,Spring
130630.0,79,Spring
130631.0,8,Spring
130632.0,65,Spring
130633.0,82,Spring
130634.0,64,Spring
130635.0,6,Spring
130636.0,119,Spring
130637.0,2,Spring
130638.0,46,Spring
130681.0,33,Spring
130682.0,139,Spring
130683.0,6,Spring
130684.0,23,Spring
130702.0,25,Spring
130703.0,26,Spring
130705.0,104,Spring
130706.0,22,Spring
130721.0,193,Spring
130722.0,116,Spring
130723.0,30,Spring
130724.0,200,Spring
130725.0,34,Spring
130726.0,89,Spring
130727.0,95,Spring
130728.0,65,Spring
130729.0,133,Spring
130730.0,67,Spring
130731.0,69,Spring
130732.0,88,Spring
130733.0,26,Spring
130802.0,34,Spring
130803.0,34,Spring
130804.0,13,Spring
130821.0,124,Spring
130822.0,25,Spring
130823.0,199,Spring
130824.0,110,Spring
130825.0,109,Spring
130826.0,68,Spring
130827.0,89,Spring
130828.0,27,Spring
130902.0,11,Spring
130903.0,26,Spring
130921.0,58,Spring
130922.0,50,Spring
130923.0,30,Spring
130924.0,34,Spring
130925.0,36,Spring
130926.0,26,Spring
130927.0,23,Spring
130928.0,42,Spring
130929.0,16,Spring
130930.0,43,Spring
130981.0,18,Spring
130982.0,131,Spring
130983.0,128,Spring
130984.0,38,Spring
131002.0,38,Spring
131003.0,55,Spring
131022.0,58,Spring
131023.0,69,Spring
131024.0,160,Spring
131025.0,32,Spring
131026.0,151,Spring
131028.0,19,Spring
131081.0,249,Spring
131082.0,77,Spring
131102.0,104,Spring
131121.0,50,Spring
131122.0,56,Spring
131123.0,56,Spring
131124.0,53,Spring
131125.0,63,Spring
131126.0,80,Spring
131127.0,107,Spring
131128.0,44,Spring
131181.0,33,Spring
131182.0,37,Spring
140105.0,33,Spring
140106.0,2,Spring
140107.0,12,Spring
140108.0,48,Spring
140109.0,45,Spring
140110.0,29,Spring
140121.0,75,Spring
140122.0,71,Spring
140123.0,8,Spring
140181.0,75,Spring
140202.0,8,Spring
140211.0,58,Spring
140212.0,28,Spring
140221.0,121,Spring
140222.0,98,Spring
140223.0,116,Spring
140224.0,45,Spring
140225.0,86,Spring
140226.0,33,Spring
140227.0,82,Spring
140302.0,2,Spring
140303.0,1,Spring
140311.0,136,Spring
140321.0,201,Spring
140322.0,147,Spring
140402.0,13,Spring
140411.0,33,Spring
140421.0,61,Spring
140423.0,134,Spring
140424.0,122,Spring
140425.0,38,Spring
140426.0,24,Spring
140427.0,80,Spring
140428.0,201,Spring
140429.0,82,Spring
140430.0,102,Spring
140431.0,155,Spring
140481.0,142,Spring
140502.0,13,Spring
140521.0,69,Spring
140522.0,104,Spring
140524.0,68,Spring
140525.0,109,Spring
140581.0,36,Spring
140602.0,140,Spring
140603.0,63,Spring
140621.0,128,Spring
140622.0,264,Spring
140623.0,29,Spring
140624.0,197,Spring
140702.0,130,Spring
140721.0,45,Spring
140722.0,56,Spring
140723.0,54,Spring
140724.0,128,Spring
140725.0,238,Spring
140726.0,20,Spring
140727.0,10,Spring
140728.0,36,Spring
140729.0,142,Spring
140781.0,66,Spring
140802.0,72,Spring
140821.0,52,Spring
140822.0,38,Spring
140823.0,48,Spring
140824.0,45,Spring
140825.0,72,Spring
140826.0,41,Spring
140827.0,13,Spring
140828.0,22,Spring
140829.0,8,Spring
140830.0,35,Spring
140881.0,44,Spring
140882.0,77,Spring
140902.0,252,Spring
140921.0,68,Spring
140922.0,133,Spring
140923.0,65,Spring
140924.0,62,Spring
140925.0,38,Spring
140926.0,25,Spring
140927.0,48,Spring
140928.0,151,Spring
140929.0,27,Spring
140930.0,33,Spring
140931.0,10,Spring
140932.0,15,Spring
140981.0,101,Spring
141002.0,209,Spring
141021.0,104,Spring
141022.0,38,Spring
141023.0,122,Spring
141024.0,75,Spring
141025.0,25,Spring
141026.0,30,Spring
141027.0,49,Spring
141028.0,9,Spring
141029.0,76,Spring
141030.0,15,Spring
141031.0,74,Spring
141032.0,17,Spring
141033.0,81,Spring
141034.0,74,Spring
141081.0,22,Spring
141082.0,20,Spring
141102.0,34,Spring
141121.0,21,Spring
141122.0,94,Spring
141123.0,20,Spring
141124.0,47,Spring
141125.0,33,Spring
141126.0,34,Spring
141127.0,148,Spring
141128.0,11,Spring
141129.0,19,Spring
141130.0,182,Spring
141181.0,291,Spring
141182.0,61,Spring
150102.0,54,Spring
150103.0,18,Spring
150104.0,68,Spring
150105.0,235,Spring
150121.0,374,Spring
150122.0,177,Spring
150123.0,606,Spring
150124.0,25,Spring
150125.0,70,Spring
150202.0,36,Spring
150203.0,1391,Spring
150204.0,34,Spring
150205.0,10,Spring
150207.0,108,Spring
150221.0,325,Spring
150222.0,36,Spring
150223.0,18,Spring
150302.0,27,Spring
150303.0,28,Spring
150304.0,2,Spring
150402.0,56,Spring
150403.0,100,Spring
150404.0,150,Spring
150421.0,143,Spring
150422.0,77,Spring
150423.0,58,Spring
150424.0,24,Spring
150425.0,28,Spring
150426.0,178,Spring
150428.0,107,Spring
150429.0,269,Spring
150430.0,230,Spring
150502.0,815,Spring
150521.0,921,Spring
150522.0,580,Spring
150523.0,430,Spring
150524.0,117,Spring
150525.0,230,Spring
150526.0,333,Spring
150581.0,54,Spring
150602.0,669,Spring
150621.0,971,Spring
150622.0,1484,Spring
150623.0,96,Spring
150624.0,53,Spring
150625.0,71,Spring
150626.0,81,Spring
150627.0,284,Spring
150702.0,135,Spring
150703.0,49,Spring
150721.0,1381,Spring
150722.0,5702,Spring
150723.0,3088,Spring
150724.0,109,Spring
150725.0,511,Spring
150726.0,219,Spring
150727.0,211,Spring
150781.0,101,Spring
150782.0,315,Spring
150783.0,1039,Spring
150784.0,909,Spring
150785.0,122,Spring
150802.0,143,Spring
150821.0,109,Spring
150822.0,215,Spring
150823.0,510,Spring
150824.0,171,Spring
150825.0,23,Spring
150826.0,72,Spring
150902.0,11,Spring
150921.0,91,Spring
150922.0,392,Spring
150923.0,270,Spring
150924.0,103,Spring
150925.0,171,Spring
150926.0,378,Spring
150927.0,155,Spring
150928.0,137,Spring
150929.0,49,Spring
150981.0,168,Spring
152201.0,815,Spring
152202.0,57,Spring
152221.0,827,Spring
152222.0,500,Spring
152223.0,2946,Spring
152224.0,235,Spring
152501.0,7,Spring
152502.0,128,Spring
152522.0,5,Spring
152523.0,5,Spring
152524.0,25,Spring
152525.0,676,Spring
152526.0,91,Spring
152527.0,186,Spring
152528.0,5,Spring
152529.0,13,Spring
152530.0,218,Spring
152531.0,58,Spring
152921.0,40,Spring
152922.0,15,Spring
152923.0,4,Spring
210102.0,8,Spring
210103.0,4,Spring
210104.0,28,Spring
210105.0,20,Spring
210106.0,129,Spring
210111.0,385,Spring
210112.0,90,Spring
210113.0,507,Spring
210114.0,418,Spring
210122.0,484,Spring
210123.0,305,Spring
210124.0,466,Spring
210181.0,1029,Spring
210211.0,51,Spring
210212.0,9,Spring
210213.0,57,Spring
210214.0,371,Spring
210224.0,2,Spring
210281.0,779,Spring
210283.0,240,Spring
210302.0,3,Spring
210303.0,731,Spring
210304.0,231,Spring
210311.0,42,Spring
210321.0,250,Spring
210323.0,165,Spring
210381.0,397,Spring
210402.0,1,Spring
210403.0,39,Spring
210404.0,559,Spring
210411.0,17,Spring
210421.0,85,Spring
210422.0,103,Spring
210423.0,95,Spring
210502.0,157,Spring
210503.0,15,Spring
210504.0,13,Spring
210505.0,8,Spring
210521.0,81,Spring
210522.0,56,Spring
210602.0,1,Spring
210603.0,27,Spring
210604.0,46,Spring
210624.0,153,Spring
210681.0,171,Spring
210682.0,144,Spring
210702.0,12,Spring
210703.0,4,Spring
210711.0,101,Spring
210726.0,377,Spring
210727.0,290,Spring
210781.0,415,Spring
210782.0,179,Spring
210802.0,8,Spring
210803.0,6,Spring
210804.0,77,Spring
210811.0,118,Spring
210881.0,204,Spring
210882.0,225,Spring
210902.0,5,Spring
210903.0,14,Spring
210904.0,6,Spring
210905.0,1,Spring
210911.0,11,Spring
210921.0,292,Spring
210922.0,256,Spring
211002.0,5,Spring
211003.0,59,Spring
211004.0,53,Spring
211005.0,17,Spring
211011.0,107,Spring
211021.0,405,Spring
211081.0,395,Spring
211102.0,38,Spring
211103.0,408,Spring
211121.0,307,Spring
211122.0,557,Spring
211202.0,68,Spring
211204.0,14,Spring
211221.0,689,Spring
211223.0,87,Spring
211224.0,573,Spring
211281.0,72,Spring
211282.0,391,Spring
211302.0,14,Spring
211303.0,29,Spring
211321.0,150,Spring
211322.0,271,Spring
211324.0,46,Spring
211381.0,188,Spring
211382.0,151,Spring
211402.0,92,Spring
211403.0,17,Spring
211404.0,160,Spring
211421.0,203,Spring
211422.0,137,Spring
211481.0,111,Spring
220102.0,60,Spring
220103.0,287,Spring
220104.0,74,Spring
220105.0,64,Spring
220106.0,45,Spring
220112.0,212,Spring
220113.0,1065,Spring
220122.0,1537,Spring
220182.0,615,Spring
220183.0,974,Spring
220202.0,140,Spring
220203.0,119,Spring
220204.0,47,Spring
220211.0,17,Spring
220221.0,202,Spring
220281.0,262,Spring
220282.0,195,Spring
220283.0,229,Spring
220284.0,166,Spring
220302.0,123,Spring
220303.0,47,Spring
220322.0,513,Spring
220323.0,158,Spring
220381.0,580,Spring
220382.0,355,Spring
220402.0,3,Spring
220403.0,1,Spring
220421.0,138,Spring
220422.0,68,Spring
220502.0,2,Spring
220503.0,56,Spring
220521.0,42,Spring
220523.0,89,Spring
220524.0,87,Spring
220581.0,147,Spring
220582.0,23,Spring
220602.0,11,Spring
220605.0,6,Spring
220621.0,83,Spring
220622.0,61,Spring
220623.0,14,Spring
220681.0,14,Spring
220702.0,1143,Spring
220721.0,1389,Spring
220722.0,626,Spring
220723.0,485,Spring
220781.0,1908,Spring
220802.0,1667,Spring
220821.0,1999,Spring
220822.0,301,Spring
220881.0,911,Spring
220882.0,643,Spring
222401.0,341,Spring
222402.0,100,Spring
222403.0,275,Spring
222404.0,267,Spring
222405.0,495,Spring
222406.0,443,Spring
222424.0,89,Spring
222426.0,87,Spring
230102.0,328,Spring
230103.0,124,Spring
230104.0,188,Spring
230108.0,43,Spring
230109.0,426,Spring
230110.0,210,Spring
230111.0,1079,Spring
230112.0,540,Spring
230113.0,2225,Spring
230123.0,1235,Spring
230124.0,358,Spring
230125.0,279,Spring
230126.0,682,Spring
230127.0,223,Spring
230128.0,414,Spring
230129.0,502,Spring
230183.0,536,Spring
230184.0,779,Spring
230202.0,54,Spring
230203.0,31,Spring
230204.0,663,Spring
230205.0,528,Spring
230206.0,271,Spring
230207.0,75,Spring
230208.0,893,Spring
230221.0,2515,Spring
230223.0,2653,Spring
230224.0,2004,Spring
230225.0,2731,Spring
230227.0,4059,Spring
230229.0,1612,Spring
230230.0,1051,Spring
230231.0,495,Spring
230281.0,3783,Spring
230302.0,25,Spring
230303.0,48,Spring
230304.0,28,Spring
230305.0,9,Spring
230306.0,26,Spring
230307.0,15,Spring
230321.0,593,Spring
230381.0,1750,Spring
230382.0,1665,Spring
230403.0,1,Spring
230404.0,4,Spring
230405.0,61,Spring
230406.0,503,Spring
230421.0,2650,Spring
230422.0,813,Spring
230502.0,58,Spring
230503.0,79,Spring
230505.0,99,Spring
230506.0,181,Spring
230521.0,768,Spring
230522.0,360,Spring
230523.0,2184,Spring
230524.0,1937,Spring
230602.0,143,Spring
230603.0,118,Spring
230604.0,740,Spring
230605.0,154,Spring
230606.0,328,Spring
230621.0,668,Spring
230622.0,2040,Spring
230623.0,2345,Spring
230624.0,1432,Spring
230702.0,20,Spring
230703.0,19,Spring
230705.0,8,Spring
230706.0,10,Spring
230707.0,23,Spring
230708.0,26,Spring
230709.0,14,Spring
230710.0,13,Spring
230711.0,6,Spring
230712.0,5,Spring
230713.0,6,Spring
230714.0,6,Spring
230715.0,1,Spring
230716.0,8,Spring
230719.0,26,Spring
230722.0,775,Spring
230781.0,199,Spring
230803.0,25,Spring
230804.0,7,Spring
230805.0,17,Spring
230811.0,719,Spring
230822.0,816,Spring
230826.0,646,Spring
230828.0,1224,Spring
230881.0,929,Spring
230882.0,2297,Spring
230883.0,838,Spring
230902.0,611,Spring
230903.0,26,Spring
230904.0,479,Spring
230921.0,365,Spring
231002.0,46,Spring
231003.0,70,Spring
231004.0,25,Spring
231005.0,48,Spring
231025.0,453,Spring
231081.0,13,Spring
231083.0,316,Spring
231084.0,804,Spring
231085.0,177,Spring
231086.0,180,Spring
231102.0,2077,Spring
231121.0,4115,Spring
231123.0,2288,Spring
231124.0,1386,Spring
231181.0,2933,Spring
231182.0,3518,Spring
231202.0,1273,Spring
231221.0,1148,Spring
231222.0,1072,Spring
231223.0,1645,Spring
231224.0,1058,Spring
231225.0,1523,Spring
231226.0,511,Spring
231281.0,1326,Spring
231282.0,1942,Spring
231283.0,903,Spring
232721.0,117,Spring
232722.0,86,Spring
232723.0,66,Spring
310104.0,1,Spring
310106.0,1,Spring
310107.0,8,Spring
310112.0,26,Spring
310113.0,56,Spring
310114.0,99,Spring
310115.0,198,Spring
310116.0,177,Spring
310117.0,126,Spring
310118.0,143,Spring
310120.0,267,Spring
310230.0,59,Spring
320104.0,1,Spring
320105.0,1,Spring
320106.0,1,Spring
320111.0,97,Spring
320113.0,28,Spring
320114.0,17,Spring
320115.0,153,Spring
320116.0,136,Spring
320117.0,51,Spring
320118.0,21,Spring
320205.0,84,Spring
320206.0,58,Spring
320211.0,12,Spring
320213.0,1,Spring
320214.0,19,Spring
320281.0,324,Spring
320282.0,183,Spring
320302.0,21,Spring
320303.0,11,Spring
320305.0,67,Spring
320311.0,6,Spring
320312.0,188,Spring
320321.0,45,Spring
320322.0,99,Spring
320324.0,127,Spring
320381.0,74,Spring
320382.0,168,Spring
320402.0,16,Spring
320404.0,9,Spring
320411.0,73,Spring
320412.0,108,Spring
320413.0,46,Spring
320481.0,271,Spring
320505.0,3,Spring
320506.0,9,Spring
320507.0,41,Spring
320508.0,4,Spring
320509.0,68,Spring
320581.0,210,Spring
320582.0,256,Spring
320583.0,129,Spring
320585.0,134,Spring
320602.0,19,Spring
320611.0,27,Spring
320612.0,133,Spring
320621.0,145,Spring
320623.0,92,Spring
320681.0,69,Spring
320682.0,156,Spring
320684.0,106,Spring
320703.0,26,Spring
320706.0,131,Spring
320707.0,45,Spring
320722.0,63,Spring
320723.0,27,Spring
320724.0,50,Spring
320802.0,35,Spring
320803.0,56,Spring
320804.0,72,Spring
320811.0,11,Spring
320826.0,62,Spring
320829.0,28,Spring
320830.0,55,Spring
320831.0,28,Spring
320902.0,145,Spring
320903.0,81,Spring
320904.0,103,Spring
320921.0,86,Spring
320922.0,88,Spring
320923.0,100,Spring
320924.0,126,Spring
320925.0,135,Spring
320981.0,201,Spring
321002.0,7,Spring
321003.0,119,Spring
321012.0,116,Spring
321023.0,105,Spring
321081.0,77,Spring
321084.0,151,Spring
321102.0,39,Spring
321111.0,1,Spring
321112.0,33,Spring
321181.0,44,Spring
321182.0,8,Spring
321183.0,75,Spring
321202.0,69,Spring
321203.0,32,Spring
321204.0,148,Spring
321281.0,177,Spring
321282.0,77,Spring
321283.0,130,Spring
321302.0,199,Spring
321311.0,229,Spring
321322.0,183,Spring
321323.0,371,Spring
321324.0,148,Spring
330103.0,2,Spring
330104.0,57,Spring
330105.0,3,Spring
330106.0,5,Spring
330109.0,289,Spring
330110.0,154,Spring
330111.0,83,Spring
330122.0,36,Spring
330127.0,37,Spring
330182.0,78,Spring
330185.0,322,Spring
330204.0,8,Spring
330205.0,12,Spring
330206.0,77,Spring
330211.0,40,Spring
330212.0,113,Spring
330225.0,36,Spring
330226.0,80,Spring
330281.0,108,Spring
330282.0,134,Spring
330283.0,230,Spring
330302.0,4,Spring
330303.0,7,Spring
330304.0,23,Spring
330305.0,1,Spring
330324.0,124,Spring
330326.0,116,Spring
330327.0,118,Spring
330328.0,115,Spring
330329.0,111,Spring
330381.0,101,Spring
330382.0,65,Spring
330402.0,45,Spring
330411.0,111,Spring
330421.0,50,Spring
330424.0,30,Spring
330481.0,172,Spring
330482.0,60,Spring
330483.0,149,Spring
330502.0,127,Spring
330503.0,91,Spring
330521.0,115,Spring
330522.0,177,Spring
330523.0,130,Spring
330602.0,12,Spring
330603.0,66,Spring
330604.0,64,Spring
330624.0,76,Spring
330681.0,168,Spring
330683.0,88,Spring
330702.0,66,Spring
330703.0,73,Spring
330723.0,108,Spring
330726.0,30,Spring
330727.0,44,Spring
330781.0,86,Spring
330782.0,44,Spring
330783.0,82,Spring
330784.0,72,Spring
330802.0,110,Spring
330803.0,31,Spring
330822.0,100,Spring
330824.0,137,Spring
330825.0,114,Spring
330881.0,45,Spring
330902.0,26,Spring
330903.0,3,Spring
330921.0,3,Spring
331002.0,14,Spring
331003.0,45,Spring
331004.0,26,Spring
331021.0,22,Spring
331022.0,44,Spring
331023.0,64,Spring
331024.0,44,Spring
331081.0,27,Spring
331082.0,59,Spring
331102.0,79,Spring
331121.0,213,Spring
331122.0,98,Spring
331123.0,57,Spring
331124.0,68,Spring
331125.0,39,Spring
331126.0,54,Spring
331127.0,77,Spring
331181.0,221,Spring
340102.0,37,Spring
340103.0,25,Spring
340104.0,55,Spring
340111.0,34,Spring
340121.0,108,Spring
340122.0,103,Spring
340123.0,85,Spring
340124.0,142,Spring
340181.0,61,Spring
340202.0,7,Spring
340203.0,9,Spring
340207.0,271,Spring
340208.0,157,Spring
340221.0,23,Spring
340222.0,242,Spring
340223.0,78,Spring
340225.0,42,Spring
340302.0,7,Spring
340303.0,14,Spring
340304.0,4,Spring
340311.0,37,Spring
340321.0,12,Spring
340322.0,27,Spring
340323.0,37,Spring
340402.0,10,Spring
340403.0,5,Spring
