code,year,fire_count
0.0,2010,2
0.0,2012,1
0.0,2013,1
0.0,2016,2
0.0,2017,1
0.0,2018,1
0.0,2019,1
110105.0,2010,123
110105.0,2011,171
110105.0,2012,128
110105.0,2013,102
110105.0,2014,89
110105.0,2015,82
110105.0,2016,88
110105.0,2017,44
110105.0,2018,32
110105.0,2019,22
110106.0,2010,15
110106.0,2011,26
110106.0,2012,20
110106.0,2013,19
110106.0,2014,18
110106.0,2015,13
110106.0,2016,9
110106.0,2017,11
110106.0,2018,5
110106.0,2019,5
110107.0,2010,10
110107.0,2011,1
110107.0,2013,1
110107.0,2016,2
110108.0,2010,9
110108.0,2011,15
110108.0,2012,8
110108.0,2013,4
110108.0,2015,5
110108.0,2016,4
110108.0,2017,9
110108.0,2018,1
110108.0,2019,4
110109.0,2010,3
110109.0,2012,4
110109.0,2015,2
110111.0,2010,18
110111.0,2011,38
110111.0,2012,55
110111.0,2013,28
110111.0,2014,20
110111.0,2015,28
110111.0,2016,18
110111.0,2017,15
110111.0,2018,18
110111.0,2019,14
110112.0,2010,125
110112.0,2011,186
110112.0,2012,185
110112.0,2013,157
110112.0,2014,110
110112.0,2015,91
110112.0,2016,127
110112.0,2017,86
110112.0,2018,53
110112.0,2019,46
110113.0,2010,56
110113.0,2011,58
110113.0,2012,40
110113.0,2013,54
110113.0,2014,29
110113.0,2015,38
110113.0,2016,45
110113.0,2017,37
110113.0,2018,37
110113.0,2019,65
110114.0,2010,34
110114.0,2011,31
110114.0,2012,35
110114.0,2013,27
110114.0,2014,20
110114.0,2015,11
110114.0,2016,13
110114.0,2017,7
110114.0,2018,5
110114.0,2019,4
110115.0,2010,79
110115.0,2011,112
110115.0,2012,130
110115.0,2013,156
110115.0,2014,103
110115.0,2015,84
110115.0,2016,108
110115.0,2017,77
110115.0,2018,36
110115.0,2019,36
110116.0,2010,5
110116.0,2011,5
110116.0,2012,7
110116.0,2013,9
110116.0,2014,8
110116.0,2015,6
110116.0,2016,2
110116.0,2018,3
110116.0,2019,1
110117.0,2010,18
110117.0,2011,5
110117.0,2012,16
110117.0,2013,10
110117.0,2014,10
110117.0,2015,8
110117.0,2016,12
110117.0,2017,9
110117.0,2018,10
110117.0,2019,10
110118.0,2010,13
110118.0,2011,14
110118.0,2012,20
110118.0,2013,9
110118.0,2014,12
110118.0,2015,8
110118.0,2016,9
110118.0,2017,2
110118.0,2018,7
110118.0,2019,5
110119.0,2010,4
110119.0,2011,13
110119.0,2012,19
110119.0,2013,9
110119.0,2014,11
110119.0,2015,11
110119.0,2016,12
110119.0,2017,8
110119.0,2018,11
120102.0,2015,1
120103.0,2010,1
120105.0,2010,1
120105.0,2012,1
120105.0,2017,2
120105.0,2018,1
120110.0,2010,105
120110.0,2011,127
120110.0,2012,132
120110.0,2013,127
120110.0,2014,48
120110.0,2015,45
120110.0,2016,48
120110.0,2017,70
120110.0,2018,45
120110.0,2019,51
120111.0,2010,13
120111.0,2011,23
120111.0,2012,36
120111.0,2013,41
120111.0,2014,27
120111.0,2015,28
120111.0,2016,33
120111.0,2017,31
120111.0,2018,28
120111.0,2019,35
120112.0,2010,37
120112.0,2011,32
120112.0,2012,39
120112.0,2013,53
120112.0,2014,29
120112.0,2015,52
120112.0,2016,39
120112.0,2017,49
120112.0,2018,33
120112.0,2019,42
120113.0,2010,25
120113.0,2011,31
120113.0,2012,40
120113.0,2013,44
120113.0,2014,36
120113.0,2015,25
120113.0,2016,36
120113.0,2017,38
120113.0,2018,21
120113.0,2019,44
120114.0,2010,52
120114.0,2011,50
120114.0,2012,60
120114.0,2013,73
120114.0,2014,48
120114.0,2015,58
120114.0,2016,71
120114.0,2017,104
120114.0,2018,99
120114.0,2019,116
120115.0,2010,53
120115.0,2011,75
120115.0,2012,83
120115.0,2013,127
120115.0,2014,162
120115.0,2015,105
120115.0,2016,137
120115.0,2017,88
120115.0,2018,68
120115.0,2019,90
120116.0,2010,80
120116.0,2011,30
120116.0,2012,53
120116.0,2013,73
120116.0,2014,83
120116.0,2015,90
120116.0,2016,56
120116.0,2017,51
120116.0,2018,55
120116.0,2019,67
120117.0,2010,60
120117.0,2011,70
120117.0,2012,59
120117.0,2013,119
120117.0,2014,100
120117.0,2015,67
120117.0,2016,93
120117.0,2017,96
120117.0,2018,100
