week,mean_top,median_top,p10_top,p90_top,mean,median,p10,p90
14,5197.7,4461.5,2884.5,7953.799999999999,5197.7,4461.5,2884.5,7953.799999999999
43,5139.2,4723.5,2383.4,9645.5,5139.2,4723.5,2383.4,9645.5
13,5077.8,5139.0,2377.8,7999.199999999999,5077.8,5139.0,2377.8,7999.199999999999
12,4250.7,4020.5,1781.1,5475.499999999998,4250.7,4020.5,1781.1,5475.499999999998
44,4122.4,3308.5,2389.8,7201.0,4122.4,3308.5,2389.8,7201.0
42,3989.8,3646.0,1117.6,6737.299999999997,3989.8,3646.0,1117.6,6737.299999999997
24,3663.9,3147.0,1028.4,5723.5999999999985,3663.9,3147.0,1028.4,5723.5999999999985
15,3359.5,2529.0,1611.5,7007.0,3359.5,2529.0,1611.5,7007.0
10,3231.7,2116.5,1578.7,4085.2999999999965,,,,
45,3215.0,2153.5,1048.1,7000.199999999999,,,,
