season,week_in_season,mean,median,p10,p90
Spring,1,3200.5,2322.5,1292.1,4879.299999999998
Spring,2,2915.5,2538.0,1820.6,4219.199999999999
Spring,3,3035.2,3504.0,1458.3,4206.9
Spring,4,5070.3,4630.5,2562.5,8592.3
Spring,5,5745.5,5200.5,2425.4,8764.999999999998
Spring,6,3825.9,3527.5,2484.0,6512.0
Spring,7,3677.8,2791.5,1720.4,6498.499999999999
Spring,8,2445.0,2140.5,1468.2,3427.5
Spring,9,2290.8,2103.5,1357.1,3231.1999999999994
Spring,10,1736.4,1551.5,1124.9,2483.7999999999997
Spring,11,1487.3,1467.5,1149.7,1884.3999999999999
Spring,12,1536.1,1487.5,1238.6,1868.3
Spring,13,1294.4,1217.5,926.0,1697.3999999999999
Spring,14,190.4,127.0,78.2,377.29999999999995
Summer,1,1875.3,1460.0,1208.3,3149.7
Summer,2,3604.9,2043.0,803.5,6977.999999999997
Summer,3,2082.9,1767.0,907.3,3543.3999999999996
Summer,4,1313.8,1002.5,660.2,1805.4999999999989
Summer,5,1023.5,1057.0,830.8,1194.8
Summer,6,1185.1,1225.5,875.2,1422.8
Summer,7,1194.6,1222.0,788.4,1538.2
Summer,8,1609.3,1619.0,1127.2,2220.1
Summer,9,1744.7,1744.5,1223.2,2178.2999999999997
Summer,10,1396.9,1270.5,1000.8,1775.8999999999999
Summer,11,1247.6,1202.0,800.3,1696.8
Summer,12,1122.1,1083.0,834.0,1430.3999999999999
Summer,13,1125.7,1021.5,871.0,1480.6999999999998
Summer,14,131.0,128.0,49.2,196.89999999999998
Autumn,1,969.5,922.0,797.7,1324.5
Autumn,2,1053.9,1048.0,839.0,1214.6
Autumn,3,1012.8,925.0,788.5,1298.1999999999998
Autumn,4,1023.5,952.5,682.4,1518.8999999999999
Autumn,5,1606.6,1604.0,1055.6,2125.8999999999996
Autumn,6,2816.7,2177.0,730.3,5370.499999999999
Autumn,7,3835.4,2773.5,945.7,6757.099999999998
Autumn,8,4622.6,4281.5,1791.8,9618.7
Autumn,9,4697.1,4548.0,2601.6,7839.599999999999
Autumn,10,3472.9,2897.0,1372.8,6741.799999999999
Autumn,11,1455.6,1289.5,508.1,2594.8999999999996
Autumn,12,964.2,714.0,400.1,2206.4
Autumn,13,769.7,701.5,340.0,1088.8999999999996
Winter,1,979.0909090909091,445.0,231.0,1883.0
Winter,2,812.0,786.0,167.0,1287.0
Winter,3,722.5454545454545,628.0,205.0,1228.0
Winter,4,865.7272727272727,578.0,226.0,1547.0
Winter,5,1210.7272727272727,430.0,213.0,2575.0
Winter,6,607.4545454545455,474.0,224.0,1107.0
Winter,7,854.6363636363636,827.0,237.0,1440.0
Winter,8,1976.3636363636363,1220.0,279.0,3559.0
Winter,9,1416.2727272727273,1106.0,388.0,2157.0
Winter,10,2063.090909090909,1330.0,1031.0,3885.0
Winter,11,2093.7272727272725,1600.0,736.0,3851.0
Winter,12,1699.0,1727.0,1111.0,2614.0
Winter,13,2792.909090909091,1808.0,773.0,8298.0
