iso_year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0
2010,1055.0,1234.0,1880.0,1331.0,1575.0,4945.0,2100.0,9114.0,4204.0,3016.0,3672.0,3261.0,2477.0,2961.0,1274.0,1866.0,1677.0,1873.0,886.0,1055.0,1081.0,1188.0,655.0,4397.0,5031.0,1280.0,695.0,508.0,997.0,896.0,1433.0,1286.0,831.0,632.0,756.0,1102.0,807.0,782.0,1300.0,2299.0,1247.0,3742.0,4749.0,3299.0,2406.0,795.0,787.0,1694.0,1365.0,277.0,1624.0,1762.0,
2011,308.0,754.0,553.0,596.0,4285.0,3811.0,834.0,2862.0,2108.0,1944.0,1166.0,1737.0,5686.0,4331.0,3522.0,2025.0,1603.0,1059.0,1388.0,1510.0,1603.0,1743.0,4031.0,1978.0,1031.0,847.0,1136.0,720.0,1316.0,1337.0,913.0,1071.0,1168.0,1414.0,1187.0,1265.0,731.0,1198.0,836.0,3952.0,6009.0,6129.0,4698.0,2906.0,3418.0,1395.0,1653.0,1081.0,566.0,1166.0,1863.0,657.0,
2012,301.0,331.0,438.0,632.0,1003.0,1117.0,1733.0,1862.0,1389.0,991.0,2372.0,4307.0,7813.0,7593.0,2491.0,2833.0,2139.0,2635.0,1534.0,1852.0,1202.0,1420.0,5749.0,10364.0,1615.0,690.0,1038.0,1153.0,1240.0,1565.0,964.0,1090.0,1164.0,999.0,1086.0,912.0,856.0,942.0,1583.0,1534.0,2394.0,1776.0,2514.0,1992.0,1082.0,613.0,461.0,309.0,743.0,462.0,285.0,357.0,
2013,359.0,447.0,1176.0,1542.0,1948.0,947.0,1139.0,1483.0,2658.0,12818.0,1806.0,1786.0,1485.0,2196.0,2499.0,2722.0,3509.0,3396.0,2578.0,1408.0,1875.0,1330.0,3388.0,5145.0,1713.0,923.0,1337.0,1197.0,1135.0,1183.0,1536.0,2198.0,1394.0,754.0,1027.0,1020.0,1056.0,1313.0,1749.0,2902.0,5439.0,5589.0,5038.0,3318.0,2780.0,1602.0,1892.0,1459.0,3619.0,1063.0,330.0,2192.0,
2014,6548.0,973.0,3329.0,9160.0,5946.0,1855.0,859.0,1312.0,2011.0,2095.0,3484.0,3688.0,3716.0,4947.0,6919.0,5164.0,2728.0,2285.0,977.0,1681.0,1412.0,1535.0,3613.0,5208.0,855.0,840.0,1208.0,1382.0,1553.0,1897.0,2182.0,1550.0,670.0,930.0,943.0,1319.0,1051.0,1543.0,1092.0,1663.0,4928.0,12212.0,9581.0,5390.0,6641.0,3296.0,2345.0,952.0,309.0,539.0,1846.0,1382.0,
2015,2575.0,583.0,833.0,3559.0,1106.0,1031.0,3019.0,1111.0,1253.0,1644.0,2274.0,4340.0,5207.0,7686.0,2284.0,8439.0,4543.0,3392.0,1634.0,1820.0,1782.0,1279.0,1022.0,4316.0,2170.0,599.0,897.0,1318.0,1358.0,1305.0,2127.0,1324.0,1062.0,838.0,1027.0,1260.0,990.0,1083.0,685.0,1973.0,2358.0,3735.0,10226.0,7114.0,10233.0,1337.0,526.0,299.0,206.0,190.0,511.0,306.0,292.0
2016,634.0,495.0,383.0,439.0,2787.0,4644.0,1762.0,888.0,4981.0,2464.0,4719.0,9719.0,5918.0,3370.0,2559.0,2093.0,2314.0,1449.0,1645.0,1487.0,1225.0,1288.0,883.0,1318.0,1660.0,1305.0,1291.0,1164.0,1763.0,2423.0,1247.0,1529.0,1739.0,1610.0,1018.0,515.0,879.0,1278.0,1032.0,1029.0,2291.0,1150.0,3319.0,4129.0,1136.0,704.0,309.0,521.0,1367.0,588.0,369.0,726.0,
2017,851.0,490.0,735.0,1577.0,963.0,2135.0,4882.0,1004.0,2326.0,3115.0,4280.0,3734.0,9675.0,10364.0,7799.0,1444.0,1705.0,1700.0,1602.0,1557.0,2085.0,1180.0,1743.0,1861.0,673.0,1300.0,1440.0,1724.0,1803.0,1720.0,1680.0,942.0,949.0,1100.0,1195.0,1127.0,855.0,819.0,653.0,738.0,1109.0,3557.0,6721.0,7984.0,1810.0,689.0,658.0,495.0,788.0,370.0,1578.0,980.0,
2018,238.0,411.0,1254.0,718.0,457.0,1494.0,3161.0,2139.0,2735.0,2092.0,1609.0,4931.0,5071.0,3937.0,2599.0,2365.0,3151.0,1178.0,1163.0,1191.0,1430.0,1091.0,1170.0,1023.0,950.0,1208.0,751.0,1348.0,1786.0,1967.0,2172.0,1973.0,1191.0,1291.0,1087.0,1168.0,1068.0,855.0,850.0,1767.0,1193.0,826.0,2411.0,2434.0,743.0,324.0,478.0,895.0,237.0,275.0,622.0,156.0,
2019,285.0,412.0,601.0,2075.0,1465.0,2142.0,1598.0,3301.0,8008.0,2138.0,2932.0,5004.0,3730.0,4592.0,1649.0,1952.0,1143.0,1356.0,1371.0,1361.0,1596.0,1081.0,1342.0,1029.0,964.0,959.0,959.0,1074.0,1310.0,1939.0,1496.0,1297.0,1837.0,1218.0,976.0,892.0,947.0,1113.0,1427.0,1042.0,795.0,1182.0,2135.0,2658.0,1901.0,1240.0,881.0,409.0,2069.0,2272.0,620.0,686.0,
2020,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
