county_code,ag_burn_count
230102.0,194
230103.0,69
230104.0,155
230108.0,29
230109.0,265
230110.0,77
230111.0,1314
230112.0,233
230113.0,1906
230123.0,1278
230124.0,38
230125.0,629
230126.0,820
230127.0,228
230128.0,117
230129.0,114
230183.0,108
230184.0,333
230202.0,1
230204.0,5
230205.0,35
230206.0,80
230207.0,2
230208.0,803
230221.0,1408
230223.0,1063
230224.0,995
230225.0,1005
230227.0,618
230229.0,311
230230.0,225
230231.0,254
230281.0,829
230302.0,2
230303.0,11
230304.0,6
230306.0,6
230307.0,2
230321.0,991
230381.0,1188
230382.0,1460
230405.0,15
230406.0,188
230421.0,1348
230422.0,1352
230502.0,43
230503.0,12
230505.0,161
230506.0,416
230521.0,3090
230522.0,1231
230523.0,2305
230524.0,563
230602.0,1
230603.0,9
230604.0,24
230605.0,8
230606.0,145
230621.0,837
230622.0,500
230623.0,139
230624.0,93
230702.0,1
230703.0,11
230705.0,9
230706.0,1
230707.0,4
230711.0,2
230712.0,2
230714.0,5
230715.0,1
230719.0,12
230722.0,198
230781.0,135
230803.0,3
230805.0,11
230811.0,365
230822.0,966
230826.0,1206
230828.0,523
230881.0,1111
230882.0,3834
230883.0,365
230902.0,374
230904.0,229
230921.0,1413
231002.0,25
231003.0,38
231004.0,4
231005.0,23
231025.0,148
231081.0,9
231083.0,94
231084.0,451
231085.0,90
231086.0,76
231102.0,323
231121.0,1873
231123.0,473
231124.0,251
231181.0,920
231182.0,878
231202.0,586
231221.0,674
231222.0,2356
231223.0,1095
231224.0,294
231225.0,424
231226.0,166
231281.0,573
231282.0,2122
231283.0,471
232721.0,134
232722.0,11
