week,mean,median,p10,p90
1,1206.4545454545455,359.0,238.0,2575.0
2,613.0,492.5,403.0,999.0999999999999
3,1118.2,784.0,432.5,2024.8999999999994
4,2162.9,1436.5,580.3,4119.099999999998
5,2153.5,1520.0,912.4,4451.099999999999
6,2412.1,1995.0,1022.6,4674.099999999999
7,2108.7,1747.5,856.5,3333.0999999999995
8,2507.6,1672.5,992.4,3882.299999999998
9,3167.3,2492.0,1375.4,5283.699999999999
10,3231.7,2116.5,1578.7,4085.2999999999965
11,2831.4,2652.0,1564.7,4323.9
12,4250.7,4020.5,1781.1,5475.499999999998
13,5077.8,5139.0,2377.8,7999.199999999999
14,5197.7,4461.5,2884.5,7953.799999999999
15,3359.5,2529.0,1611.5,7007.0
16,3090.3,2229.0,1823.8,5491.499999999999
17,2451.2,2226.5,1557.0,3612.3999999999996
18,2032.3,1786.5,1166.1,3392.4
19,1477.8,1461.0,967.9,1738.2999999999997
20,1492.2,1498.5,1177.4,1823.2
21,1529.1,1513.0,1189.9,1896.0
22,1313.5,1283.5,1090.0,1555.8
23,2359.6,1542.5,860.2,4202.799999999999
24,3663.9,3147.0,1028.4,5723.5999999999985
25,1666.2,1323.0,836.8,2456.099999999999
26,995.1,941.0,680.9,1300.5
27,1075.2,1087.0,745.4,1347.3
28,1158.8,1180.5,698.8,1416.1999999999998
29,1426.1,1337.0,1121.2,1787.7
30,1623.2,1642.5,1154.3,2012.6
31,1575.0,1516.0,958.9,2173.0
32,1426.0,1310.5,1058.1,1995.5
33,1200.5,1166.0,814.9,1748.8
34,1078.6,1049.5,741.8,1433.6
35,1030.2,1027.0,924.3,1187.8
36,1058.0,1114.5,854.3,1270.4
37,924.0,913.0,799.4,1057.2
38,1092.6,1098.0,815.3,1336.0
39,1120.7,1062.0,681.8,1599.6
40,1889.9,1715.0,999.9,3006.9999999999995
41,2776.3,2324.5,1077.6,5496.0
42,3989.8,3646.0,1117.6,6737.299999999997
43,5139.2,4723.5,2383.4,9645.5
44,4122.4,3308.5,2389.8,7201.0
45,3215.0,2153.5,1048.1,7000.199999999999
46,1199.5,1017.5,584.1,1771.3999999999994
47,999.0,722.5,445.8,1937.2999999999997
48,811.4,708.0,308.0,1482.5
49,1126.9,765.5,233.9,2223.9999999999995
50,720.2,500.5,266.5,1276.5999999999997
51,964.8,621.0,325.5,1847.7
52,920.4,706.0,291.0,1804.9999999999998
53,289.0,289.0,286.6,291.4
