year,1,2,3,4,5,6,7,8,9,10,11,12
2010,5786,17734,15063,8585,5779,11913,3537,4474,3767,12798,7538,6144
2011,2840,12527,9717,13234,6197,8936,4700,5134,4442,21492,9560,4566
2012,1988,6219,14786,16594,7701,19105,5464,4651,4572,9007,3637,1929
2013,4653,5560,19330,11996,8805,11881,5596,6094,5379,20578,8779,9359
2014,22221,7310,14485,20292,6508,10773,7427,4776,5436,32667,13910,5002
2015,7659,6286,14749,24354,7420,8344,6301,4769,4283,21841,15678,1306
2016,2116,11104,26047,10791,6392,5546,7239,6855,3691,8534,5959,3393
2017,3973,9102,17761,26296,7592,5902,7057,5221,3813,14881,8837,3882
2018,2844,8044,15028,12598,5289,4673,6828,6710,4259,7268,3699,1433
2019,4233,13999,15420,9534,6168,4693,6134,5841,4673,6911,5116,5817
